nodeid,waterbody,region,latitude,longitude,parameter,unit,value,measurementdate,sourceprogram,ecoimpactscore,notes
CAP-LP-PFBS,Lake Pleasant,Maricopa-Yavapai AZ,33.853,-112.269,PFBS,ng/L,3.9,2024-11-15,CAPAnnualWQReport2024,0.88,"PFBS at Lake Pleasant Parkway; reservoir-specific detection, non-detect in main canal; cybo-aquatic PFBS node for GAC/IX treatment"
ADEQ-GILA-ECO,Gila River Mainstem,Central AZ,33.200,-111.500,Ecoli,MPN/100mL,impaired,2024-06-30,ADEQ2026CWAAssessment,0.92,"Multiple impaired reaches; priority for riparian buffers and mechanical skimmers to reduce pathogen loads"
PHX-STORM-CANAL,SRP Urban Canal,Phoenix AZ,33.480,-112.070,TrashLoad,kg/day,250,2025-09-01,PhoenixSRPUrbanStormStudy,0.80,"Estimated mixed debris inflow from storm drains; design target for recycled-plastic racks and floating booms"
PHX-MAG-ROUTE1,Phoenix Streets,Phoenix AZ,33.450,-112.080,CO2Avoided,ton/year,180,2026-01-01,PHXFleetElectrificationPlan,0.76,"Projected annual CO2 avoided by electrifying a primary solid-waste route using magnetic-concrete inductive segments"
CRB-SALINITY-PROG,Colorado River Basin,Interstate CO-UT-WY-AZ,37.000,-111.000,SalinityLoadReduction,ton/year,1300000,2024-05-29,CRBSalinityControlProgram2024,0.78,"Existing basin-scale salinity control used as upper envelope for local Phoenix/SRP salinity and nutrient offset targets"
PHX-LP-RISK,Lake Pleasant to Phoenix,Central AZ,33.600,-112.100,SourceRiskIndex,unitless,high,2024-12-01,PhoenixWQReport2024,0.90,"Phoenix flags CAP-Lake Pleasant source as high risk; motivates cybo-aquatic PFAS/nutrient early-warning and treatment"
GILA-BMP-NODE1,Gila Riparian Reach,Central AZ,33.150,-111.950,NutrientRetention,percent,40,2025-07-01,GilaWatershedBMPProject,0.82,"Modeled TP/TN reduction from combined buffers, fencing, and wetlands; cybo-aquatic node for bacteria and nutrient mitigation"
PHX-CANAL-HYDRO1,SRP Drop Structure,Phoenix AZ,33.430,-112.050,MicroHydroPower,kW,12,2025-05-15,SRPEnergyRecoveryPilot,0.74,"Low-head hydro generation at canal drop powering local pumps and sensors for cybo-aquatic filtration modules"
AZTRAIL-GILA-REC,Gila River Trails,Central AZ,33.050,-111.950,EcoliRiskIndex,unitless,elevated,2025-09-01,AZTrailGilaWQ2025,0.83,"Trail-based monitoring shows elevated E. coli; recreational node for signage, real-time advisories, and buffer targeting"
PHX-ECO-KARMA-SUM,Phoenix Metro Basin,Phoenix AZ,33.450,-112.070,AnnualKarmaIndex,unitless,baseline,2026-01-01,EcoNetCEIMPhoenix,1.00,"Aggregated EcoNet Karma from PFBS, E. coli, nutrients, debris, CO2, and salinity reductions via cybo-aquatic and energy nodes"
